municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
161,Ejerlejlighed,"Nordre Ringvej 12, st. th",2600, Glostrup,319167,1994-10-18,Andet,57,5599,2,1940,
161,Villa,Enighedsvej 25,2600, Glostrup,726110,1994-10-17,Alm. Salg,232,3130,8,1925,
161,Villa,Svalevej 10,2600, Glostrup,585000,1994-10-16,Alm. Salg,87,6724,3,1956,
161,Villa,Lunddalsvej 31,2600, Glostrup,955000,1994-10-16,Alm. Salg,141,6773,6,1950,
161,Ejerlejlighed,"Lilliendalsvej 7, 1. 4",2600, Glostrup,515000,1994-10-12,Alm. Salg,75,6867,3,1970,
161,Rækkehus,Ejbygård 13,2600, Glostrup,1070000,1994-10-10,Alm. Salg,126,8492,4,1987,
161,Rækkehus,Ejbygård 9,2600, Glostrup,1131000,1994-10-08,Alm. Salg,143,7909,4,1987,
161,Ejerlejlighed,"Christiansvej 9, 2. tv",2600, Glostrup,389000,1994-10-06,Alm. Salg,69,5638,3,1947,
161,Rækkehus,Hvissingeparken 4,2600, Glostrup,495000,1994-10-02,Fam. Salg,98,5051,4,1967,
161,Villa,Irisvej 3,2600, Glostrup,576200,1994-09-27,Alm. Salg,71,8115,3,1910,
161,Villa,Østerager 51,2600, Glostrup,1370000,1994-09-27,Alm. Salg,126,10873,5,1994,
161,Ejerlejlighed,"Magnoliavej 20, 1. th",2600, Glostrup,316275,1994-09-26,Alm. Salg,51,6201,2,1946,
161,Villa,Ejbydalsvej 87,2600, Glostrup,675360,1994-09-26,Alm. Salg,109,6196,3,1943,
161,Villa,Bjergager 7,2600, Glostrup,1100000,1994-09-24,Alm. Salg,199,5528,7,1980,
161,Villa,Østervej 18,2600, Glostrup,920000,1994-09-21,Alm. Salg,177,5198,5,1928,
161,Villa,Elmevej 3,2600, Glostrup,910000,1994-09-18,Alm. Salg,136,6691,5,1935,
161,Villa,Østerager 25,2600, Glostrup,1272000,1994-09-17,Alm. Salg,160,7950,5,1987,
161,Ejerlejlighed,"Tværvej 2, 1. tv",2600, Glostrup,332263,1994-09-15,Alm. Salg,57,5829,2,1938,
161,Ejerlejlighed,"Byparkvej 10, st. th",2600, Glostrup,446000,1994-09-15,Alm. Salg,61,7311,2,1975,
161,Villa,Østervej 17,2600, Glostrup,950000,1994-09-13,Alm. Salg,164,5793,4,1931,
161,Villa,Enighedsvej 4,2600, Glostrup,873362,1994-09-10,Alm. Salg,137,6375,4,1928,
161,Villa,Bjergbakkevej 292,2600, Glostrup,927000,1994-09-05,Alm. Salg,112,8277,3,1974,
161,Villa,Langagervej 44,2600, Glostrup,744000,1994-09-04,Alm. Salg,108,6889,5,1954,
161,Villa,Fyrremejsevej 12,2600, Glostrup,810000,1994-09-03,Alm. Salg,120,6750,4,1957,
161,Ejerlejlighed,"Gyvelvej 18, 1. th",2600, Glostrup,350000,1994-08-30,Alm. Salg,77,4545,3,1961,
161,Villa,Ørnebjergvej 46,2600, Glostrup,460000,1994-08-30,Alm. Salg,75,6133,3,1930,
161,Ejerlejlighed,"Ørnebjergvej 12D, 1. tv",2600, Glostrup,315000,1994-08-29,Alm. Salg,52,6058,2,1935,
161,Villa,Langagervej 48,2600, Glostrup,1430000,1994-08-29,Alm. Salg,205,6976,5,1962,
161,Villa,Ejbykærsvej 5,2600, Glostrup,532000,1994-08-29,Alm. Salg,90,5911,4,1898,
161,Villa,Ejby Mosevej 77,2600, Glostrup,900000,1994-08-28,Alm. Salg,111,8108,4,1968,
161,Villa,Edithsvej 12,2600, Glostrup,888938,1994-08-25,Alm. Salg,129,6891,6,1930,
161,Rækkehus,Tranemosevej 20,2600, Glostrup,247539,1994-08-17,Alm. Salg,106,2335,4,1957,
161,Ejerlejlighed,"Ørnebjergvej 12B, 1. tv",2600, Glostrup,387200,1994-08-17,Alm. Salg,52,7446,2,1935,
161,Villa,Højvangsvej 14,2600, Glostrup,727000,1994-08-17,Alm. Salg,107,6794,4,1931,
161,Ejerlejlighed,"Tranemosevej 11, st. th",2600, Glostrup,405000,1994-08-15,Alm. Salg,79,5127,3,1961,
161,Villa,Højlandsvej 15,2600, Glostrup,701000,1994-08-15,Alm. Salg,157,4465,7,1917,
161,Villa,Østerager 38,2600, Glostrup,250000,1994-08-13,Alm. Salg,165,1515,6,2009,
161,Villa,Blåmejsevej 14,2600, Glostrup,610000,1994-08-13,Alm. Salg,86,7093,3,1959,
161,Villa,Duevej 17,2600, Glostrup,815000,1994-08-09,Alm. Salg,154,5292,4,1957,
161,Ejerlejlighed,"Gyvelvej 18, st. th",2600, Glostrup,320000,1994-08-04,Alm. Salg,77,4156,3,1961,
161,Villa,Erdalsvej 14,2600, Glostrup,596000,1994-08-03,Alm. Salg,128,4656,5,1929,
