muni_code,year,gini_index
190,2014,28.67
190,2015,29.04
190,2016,29.56
190,2017,30.51
190,2018,30.41
190,2019,30.64
190,2020,29.42
190,2021,29.87
270,1992,21.22
270,1993,21.68
270,1994,20.76
270,1995,20.7
270,1996,21.74
270,1997,21.3
270,1998,21.78
270,1999,21.38
270,2000,22.59
270,2001,22.66
270,2002,21.8
270,2003,21.94
270,2004,21.94
270,2005,22.61
270,2006,23.83
270,2007,24.96
270,2008,25.05
270,2009,24.34
270,2010,24.21
270,2011,24.24
270,2012,25.5
270,2013,24.92
270,2014,25.39
270,2015,25.31
270,2016,25.52
270,2017,26.07
270,2018,25.7
270,2019,26.16
270,2020,26.63
270,2021,26.66
260,1992,19.28
260,1993,19.64
260,1994,19.51
260,1995,19.56
260,1996,19.43
260,1997,19.93
260,1998,20.05
260,1999,20.06
260,2000,20.15
260,2001,20.33
260,2002,19.79
260,2003,20.53
260,2004,20.4
260,2005,20.91
260,2006,20.86
260,2007,21.58
260,2008,22.17
260,2009,21.08
260,2010,21.65
260,2011,21.71
260,2012,21.39
260,2013,22.11
260,2014,22.34
260,2015,22.92
260,2016,22.85
260,2017,23.81
260,2018,23.5
260,2019,23.25
260,2020,23.79
260,2021,23.86
217,1992,22.84
217,1993,23.8
217,1994,23.43
217,1995,24.9
217,1996,23.82
217,1997,24.19
217,1998,25.01
217,1999,24.82
217,2000,25.52
217,2001,25.06
217,2002,27.35
217,2003,24.57
217,2004,24.59
217,2005,25.69
217,2006,26.51
217,2007,29.45
217,2008,27.72
217,2009,26.08
217,2010,27.75
217,2011,27.42
217,2012,27.63
217,2013,28.74
217,2014,28.83
217,2015,29.39
217,2016,29.22
217,2017,29.78
217,2018,29.4
217,2019,30.68
217,2020,29.97
217,2021,30.83
219,1992,21.89
219,1993,21.74
219,1994,21.34
219,1995,21.76
219,1996,22.14
219,1997,22.42
219,1998,22.53
219,1999,22.9
219,2000,23.37
219,2001,23.0
219,2002,22.94
219,2003,22.34
219,2004,23.03
219,2005,23.81
219,2006,23.7
219,2007,24.76
219,2008,24.76
219,2009,23.87
219,2010,25.11
219,2011,25.41
219,2012,25.04
219,2013,25.13
219,2014,26.89
219,2015,26.95
219,2016,26.58
219,2017,27.05
219,2018,27.02
219,2019,26.99
219,2020,27.09
219,2021,27.99
223,1992,34.84
223,1993,35.86
223,1994,36.78
223,1995,35.7
223,1996,33.78
223,1997,33.13
223,1998,31.46
223,1999,32.59
223,2000,35.56
223,2001,32.44
223,2002,32.03
223,2003,31.53
223,2004,31.19
223,2005,32.47
223,2006,35.09
223,2007,38.29
223,2008,37.51
223,2009,36.72
223,2010,38.78
223,2011,37.0
223,2012,36.6
223,2013,38.24
223,2014,37.52
223,2015,38.08
223,2016,38.27
223,2017,39.59
223,2018,38.48
223,2019,39.21
223,2020,40.18
223,2021,39.59
230,1992,32.69
230,1993,32.4
230,1994,45.38
230,1995,30.36
230,1996,30.85
230,1997,32.54
230,1998,33.37
230,1999,35.68
230,2000,37.57
230,2001,34.55
230,2002,34.05
230,2003,34.79
230,2004,34.67
230,2005,40.36
230,2006,39.16
230,2007,39.66
230,2008,39.28
230,2009,36.12
230,2010,40.11
230,2011,38.09
230,2012,38.09
230,2013,38.78
230,2014,39.86
230,2015,40.88
230,2016,42.63
230,2017,42.56
230,2018,41.51
230,2019,43.04
230,2020,41.59
230,2021,43.67
400,1992,20.24
400,1993,20.23
400,1994,19.68
400,1995,19.28
400,1996,19.76
400,1997,20.0
400,1998,20.51
400,1999,20.42
400,2000,20.61
400,2001,21.0
400,2002,20.89
400,2003,20.73
400,2004,21.41
400,2005,21.84
400,2006,22.5
400,2007,22.95
400,2008,24.88
400,2009,23.89
400,2010,22.85
400,2011,22.66
400,2012,22.27
400,2013,22.07
400,2014,22.12
400,2015,22.66
400,2016,23.39
400,2017,23.96
400,2018,23.41
400,2019,24.46
400,2020,24.32
400,2021,24.08
253,1992,19.96
253,1993,20.82
253,1994,20.38
253,1995,20.64
253,1996,21.13
253,1997,22.74
253,1998,21.97
253,1999,21.88
253,2000,22.45
253,2001,22.28
253,2002,21.68
253,2003,21.72
253,2004,22.02
253,2005,22.7
253,2006,22.98
253,2007,24.48
253,2008,23.96
253,2009,23.13
253,2010,24.09
253,2011,24.29
253,2012,23.69
253,2013,24.12
253,2014,25.34
253,2015,25.54
253,2016,25.36
253,2017,25.88
253,2018,25.73
253,2019,26.16
253,2020,26.51
253,2021,26.35
259,1992,20.12
259,1993,20.74
259,1994,20.28
259,1995,20.46
259,1996,20.53
259,1997,20.98
259,1998,21.26
259,1999,21.3
259,2000,21.56
259,2001,21.49
259,2002,20.94
259,2003,20.88
259,2004,21.6
259,2005,21.61
259,2006,22.2
259,2007,22.85
259,2008,23.41
259,2009,23.03
259,2010,23.44
259,2011,23.64
259,2012,23.79
259,2013,23.81
259,2014,24.44
259,2015,24.67
259,2016,25.08
259,2017,25.75
259,2018,25.16
259,2019,25.6
259,2020,26.34
259,2021,26.23
350,1992,19.14
350,1993,19.85
350,1994,19.33
350,1995,19.73
350,1996,20.51
350,1997,21.07
350,1998,20.56
350,1999,20.49
350,2000,21.46
350,2001,21.42
350,2002,21.8
350,2003,21.15
350,2004,21.08
350,2005,22.17
350,2006,23.3
350,2007,23.33
350,2008,24.33
350,2009,24.09
350,2010,23.73
350,2011,24.4
350,2012,23.88
350,2013,23.4
350,2014,24.45
350,2015,24.56
350,2016,24.87
350,2017,25.27
350,2018,25.4
350,2019,25.15
350,2020,25.07
350,2021,25.74
265,1992,21.92
265,1993,22.28
265,1994,22.62
265,1995,21.96
265,1996,22.27
265,1997,23.0
265,1998,23.12
265,1999,23.2
265,2000,24.08
265,2001,23.45
265,2002,23.38
265,2003,23.33
265,2004,23.72
265,2005,24.33
265,2006,25.1
265,2007,26.08
265,2008,26.21
265,2009,25.77
265,2010,26.49
265,2011,27.04
265,2012,27.07
265,2013,27.08
265,2014,27.89
265,2015,28.26
265,2016,28.94
265,2017,27.98
265,2018,27.94
265,2019,28.25
265,2020,28.41
265,2021,28.77
269,1992,19.16
269,1993,22.25
269,1994,19.51
269,1995,19.88
269,1996,20.54
269,1997,21.4
269,1998,21.66
269,1999,21.51
269,2000,22.34
269,2001,22.36
269,2002,21.75
269,2003,21.94
269,2004,22.0
269,2005,22.41
269,2006,23.48
269,2007,25.96
269,2008,25.37
269,2009,23.9
269,2010,24.79
269,2011,25.1
269,2012,25.06
269,2013,24.47
269,2014,26.14
269,2015,26.18
269,2016,27.49
269,2017,26.92
269,2018,26.43
269,2019,28.02
269,2020,27.51
269,2021,27.45
320,1992,20.32
320,1993,20.66
320,1994,20.15
320,1995,20.48
320,1996,19.85
320,1997,20.95
320,1998,21.74
320,1999,20.86
320,2000,21.38
320,2001,21.24
320,2002,20.6
320,2003,20.86
320,2004,21.26
320,2005,21.45
320,2006,22.46
320,2007,23.03
320,2008,22.8
320,2009,22.28
320,2010,23.26
320,2011,22.3
320,2012,23.07
320,2013,23.02
320,2014,23.05
320,2015,23.68
320,2016,23.78
320,2017,24.31
320,2018,24.28
320,2019,24.24
320,2020,24.69
320,2021,24.55
376,1992,20.17
376,1993,20.95
376,1994,20.45
376,1995,20.04
376,1996,20.5
376,1997,20.71
376,1998,21.22
376,1999,21.06
376,2000,21.77
376,2001,21.79
376,2002,21.7
376,2003,22.02
376,2004,22.06
376,2005,23.45
376,2006,24.34
376,2007,25.11
376,2008,26.66
376,2009,24.91
376,2010,24.26
376,2011,26.34
376,2012,24.75
376,2013,24.88
376,2014,24.96
376,2015,25.03
376,2016,24.9
376,2017,25.05
376,2018,25.04
376,2019,25.46
376,2020,25.59
376,2021,26.1
316,1992,20.9
316,1993,20.99
316,1994,20.8
316,1995,20.88
316,1996,21.16
316,1997,21.68
316,1998,22.1
316,1999,22.0
316,2000,22.22
316,2001,22.19
316,2002,21.95
316,2003,22.16
316,2004,22.86
316,2005,23.52
316,2006,23.8
316,2007,24.39
316,2008,25.39
316,2009,24.21
316,2010,24.81
316,2011,24.7
316,2012,24.19
316,2013,24.33
316,2014,24.49
316,2015,25.06
316,2016,25.36
316,2017,25.65
316,2018,25.72
316,2019,25.64
316,2020,25.96
316,2021,26.49
326,1992,20.02
326,1993,20.09
326,1994,19.81
326,1995,19.82
326,1996,20.32
326,1997,20.94
326,1998,21.84
326,1999,21.48
326,2000,21.36
326,2001,21.99
326,2002,21.25
326,2003,21.56
326,2004,21.62
326,2005,22.31
326,2006,22.77
326,2007,23.93
326,2008,26.91
326,2009,23.76
326,2010,24.08
326,2011,24.5
326,2012,24.12
326,2013,23.45
326,2014,24.29
326,2015,25.1
326,2016,25.17
326,2017,24.71
326,2018,24.85
326,2019,25.22
326,2020,24.91
326,2021,25.7
360,1992,19.67
360,1993,20.37
360,1994,19.94
360,1995,20.39
360,1996,20.47
360,1997,21.04
360,1998,21.66
360,1999,21.23
360,2000,21.67
360,2001,21.84
360,2002,22.04
360,2003,21.48
360,2004,22.55
360,2005,23.44
360,2006,23.74
360,2007,24.27
360,2008,25.89
360,2009,25.45
360,2010,24.47
360,2011,26.22
360,2012,25.25
360,2013,25.37
360,2014,26.08
360,2015,24.81
360,2016,25.86
360,2017,25.92
360,2018,26.7
360,2019,26.19
360,2020,25.71
360,2021,26.84
370,1992,21.02
370,1993,21.1
370,1994,20.67
370,1995,20.35
370,1996,20.67
370,1997,21.2
370,1998,21.41
370,1999,21.33
370,2000,21.62
370,2001,21.53
370,2002,21.14
370,2003,21.2
370,2004,21.98
370,2005,22.32
370,2006,23.19
370,2007,24.1
370,2008,25.37
370,2009,23.76
370,2010,24.12
370,2011,24.8
370,2012,23.35
370,2013,23.9
370,2014,24.44
370,2015,24.7
370,2016,24.91
370,2017,25.57
370,2018,25.09
370,2019,25.7
370,2020,25.69
370,2021,25.96
306,1992,20.1
306,1993,19.83
306,1994,20.07
306,1995,19.66
306,1996,19.79
306,1997,20.71
306,1998,20.93
306,1999,20.72
306,2000,21.22
306,2001,21.13
306,2002,20.45
306,2003,20.72
306,2004,21.39
306,2005,22.33
306,2006,23.3
306,2007,23.21
306,2008,24.77
306,2009,23.12
306,2010,23.42
306,2011,23.07
306,2012,22.31
306,2013,22.45
306,2014,23.07
306,2015,23.52
306,2016,23.56
306,2017,24.53
306,2018,23.8
306,2019,23.78
306,2020,24.26
306,2021,24.6
329,1992,20.66
329,1993,21.65
329,1994,20.74
329,1995,21.45
329,1996,21.23
329,1997,21.49
329,1998,21.79
329,1999,22.36
329,2000,22.11
329,2001,22.43
329,2002,21.55
329,2003,21.33
329,2004,21.83
329,2005,22.11
329,2006,22.55
329,2007,23.33
329,2008,23.56
329,2009,23.3
329,2010,23.83
329,2011,23.66
329,2012,23.87
329,2013,24.24
329,2014,24.39
329,2015,24.12
329,2016,24.82
329,2017,25.47
329,2018,24.85
329,2019,25.09
329,2020,25.85
329,2021,25.66
330,1992,20.55
330,1993,21.08
330,1994,20.51
330,1995,20.12
330,1996,20.65
330,1997,21.24
330,1998,21.43
330,1999,21.33
330,2000,21.59
330,2001,21.61
330,2002,21.63
330,2003,21.44
330,2004,22.18
330,2005,22.97
330,2006,23.06
330,2007,24.73
330,2008,24.08
330,2009,23.05
330,2010,23.92
330,2011,24.01
330,2012,23.66
330,2013,24.58
330,2014,24.26
330,2015,24.62
330,2016,25.1
330,2017,25.41
330,2018,25.44
330,2019,25.25
330,2020,25.22
330,2021,26.0
340,1992,20.49
340,1993,21.05
340,1994,20.34
340,1995,20.22
340,1996,20.67
340,1997,21.0
340,1998,21.64
340,1999,21.56
340,2000,21.51
340,2001,21.94
340,2002,21.63
340,2003,21.61
340,2004,21.95
340,2005,22.44
340,2006,23.22
340,2007,23.16
340,2008,27.67
340,2009,23.62
340,2010,25.18
340,2011,23.31
340,2012,24.29
340,2013,23.8
340,2014,24.07
340,2015,24.04
340,2016,24.37
340,2017,24.88
340,2018,24.67
340,2019,25.47
340,2020,24.9
340,2021,25.24
336,1992,20.49
336,1993,20.39
336,1994,19.88
336,1995,19.87
336,1996,20.42
336,1997,20.79
336,1998,21.05
336,1999,20.79
336,2000,21.72
336,2001,21.63
336,2002,21.22
336,2003,21.17
336,2004,21.16
336,2005,21.54
336,2006,22.21
336,2007,23.47
336,2008,24.65
336,2009,23.37
336,2010,22.92
336,2011,23.44
336,2012,23.55
336,2013,23.75
336,2014,23.61
336,2015,24.14
336,2016,24.18
336,2017,24.93
336,2018,25.12
336,2019,24.87
336,2020,24.8
336,2021,24.59
390,1992,20.92
390,1993,21.39
390,1994,20.85
390,1995,20.57
390,1996,20.64
390,1997,21.29
390,1998,21.83
390,1999,21.6
390,2000,22.27
390,2001,22.12
390,2002,21.86
390,2003,21.44
390,2004,22.15
390,2005,23.05
390,2006,23.63
390,2007,23.86
390,2008,26.8
390,2009,25.23
390,2010,24.32
390,2011,24.74
390,2012,23.94
390,2013,23.81
390,2014,24.36
390,2015,25.34
390,2016,25.43
390,2017,25.82
390,2018,25.7
390,2019,25.7
390,2020,25.79
390,2021,25.84
420,1992,20.17
420,1993,19.39
420,1994,20.06
420,1995,19.51
420,1996,19.78
420,1997,20.32
420,1998,21.08
420,1999,20.56
420,2000,20.65
420,2001,21.17
420,2002,20.91
420,2003,21.01
420,2004,21.11
420,2005,21.49
420,2006,22.63
420,2007,23.45
420,2008,25.82
420,2009,23.77
420,2010,22.94
420,2011,22.82
420,2012,22.17
420,2013,22.18
420,2014,23.01
420,2015,23.39
420,2016,23.96
420,2017,24.13
420,2018,24.0
420,2019,24.54
420,2020,24.39
420,2021,24.6
430,1992,19.45
430,1993,19.66
430,1994,19.67
430,1995,19.43
430,1996,19.63
430,1997,20.31
430,1998,21.12
430,1999,20.8
430,2000,20.97
430,2001,21.51
430,2002,21.54
430,2003,20.49
430,2004,21.19
430,2005,21.74
430,2006,22.71
430,2007,23.64
430,2008,26.2
430,2009,23.91
430,2010,23.19
430,2011,22.73
430,2012,22.56
430,2013,22.34
430,2014,22.53
430,2015,23.2
430,2016,24.58
430,2017,23.41
430,2018,24.31
430,2019,23.72
430,2020,23.81
430,2021,24.14
440,1992,19.02
440,1993,19.52
440,1994,18.99
440,1995,19.41
440,1996,19.21
440,1997,20.31
440,1998,20.83
440,1999,20.58
440,2000,20.82
440,2001,21.04
440,2002,21.77
440,2003,21.1
440,2004,21.03
440,2005,22.19
440,2006,21.91
440,2007,23.93
440,2008,25.2
440,2009,22.99
440,2010,23.18
440,2011,23.54
440,2012,23.87
440,2013,24.12
440,2014,24.47
440,2015,25.91
440,2016,26.79
440,2017,25.86
440,2018,25.42
440,2019,26.46
440,2020,26.25
440,2021,28.62
482,1992,20.1
482,1993,20.25
482,1994,20.03
482,1995,19.51
482,1996,19.8
482,1997,20.64
482,1998,21.27
482,1999,20.68
482,2000,21.2
482,2001,21.01
482,2002,21.18
482,2003,21.32
482,2004,22.18
482,2005,22.72
482,2006,22.84
482,2007,25.49
482,2008,27.47
482,2009,26.0
482,2010,23.35
482,2011,23.4
482,2012,23.47
482,2013,23.29
482,2014,22.08
482,2015,22.8
482,2016,22.77
482,2017,23.24
482,2018,22.88
482,2019,25.0
482,2020,26.83
482,2021,24.83
410,1992,18.91
410,1993,19.86
410,1994,19.46
410,1995,19.79
410,1996,20.9
410,1997,20.95
410,1998,21.62
410,1999,21.11
410,2000,21.85
410,2001,21.37
410,2002,21.47
410,2003,21.45
410,2004,21.54
410,2005,22.66
410,2006,22.92
410,2007,23.98
410,2008,24.58
410,2009,23.38
410,2010,23.86
410,2011,26.1
