municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
165,Rækkehus,Elmehusene 270,2600, Glostrup,2085000,2006-10-08,Alm. Salg,100,20850,4,1968,
165,Rækkehus,Elmehusene 242,2600, Glostrup,2200000,2006-10-02,Alm. Salg,96,22917,4,1968,
165,Rækkehus,Fiskerhusene 89,2620, Albertslund,2695000,2006-09-30,Alm. Salg,106,25425,4,1968,
165,Villa,Hvidager 27,2620, Albertslund,702500,2006-09-30,Fam. Salg,157,4475,5,1966,
165,Rækkehus,Falkehusene 12,2620, Albertslund,2495000,2006-09-28,Alm. Salg,106,23538,4,1968,
165,Ejerlejlighed,"Topperne 28, 1. 11",2620, Albertslund,1810000,2006-09-28,Alm. Salg,97,18660,4,1972,
165,Rækkehus,Præstehusene 88,2620, Albertslund,599000,2006-09-26,Fam. Salg,151,3967,4,1969,
165,Ejerlejlighed,"Topperne 9, st. 1",2620, Albertslund,2000000,2006-09-24,Alm. Salg,102,19608,4,1972,
165,Villa,Kongsager 69,2620, Albertslund,3175000,2006-09-24,Alm. Salg,124,25605,4,1966,
165,Rækkehus,Skovskrænten 8A,2620, Albertslund,4675000,2006-09-15,Alm. Salg,176,26563,5,1986,
165,Villa,Roskildevej 88,2620, Albertslund,3000000,2006-09-14,Alm. Salg,82,22727,5,1938,
165,Rækkehus,Jægerhusene 34,2620, Albertslund,2575000,2006-09-13,Alm. Salg,106,24292,4,1968,
165,Ejerlejlighed,"Topperne 32, 3. 34",2620, Albertslund,1175000,2006-09-12,Alm. Salg,49,23980,2,1972,
165,Rækkehus,Fasanhusene 53,2620, Albertslund,2685000,2006-09-06,Alm. Salg,106,25330,5,1968,
165,Ejerlejlighed,Mölndalsparken 63,2620, Albertslund,1640000,2006-09-02,Alm. Salg,61,26885,2,1986,
165,Rækkehus,Rytterhusene 42,2620, Albertslund,2645000,2006-08-29,Alm. Salg,106,24953,5,1968,
165,Rækkehus,Poppelhusene 42,2600, Glostrup,1548924,2006-08-27,Andet,122,12696,5,1974,
165,Rækkehus,Rytterhusene 28,2620, Albertslund,2608000,2006-08-26,Alm. Salg,106,24604,5,1968,
165,Ejerlejlighed,"Topperne 26, st. 4",2620, Albertslund,1150000,2006-08-26,Alm. Salg,49,23469,2,1972,
165,Ejerlejlighed,"Topperne 12, 3. 34",2620, Albertslund,1095000,2006-08-22,Alm. Salg,49,22347,2,1971,
165,Ejerlejlighed,"Topperne 28, 2. 24",2620, Albertslund,1090000,2006-08-17,Alm. Salg,49,22245,2,1972,
