muni_code,year,unemployed
706,2002,2392
706,2003,2881
706,2004,2958
706,2005,2702
706,2006,2136
707,1992,5493
707,1993,6236
707,1994,6062
707,1995,5122
707,1996,4426
707,1997,4024
707,1998,3163
707,1999,3099
707,2000,3273
707,2001,3057
707,2002,3101
707,2003,3602
707,2004,3422
707,2005,2950
707,2006,2213
710,1992,4916
710,1993,5433
710,1994,4943
710,1995,3996
710,1996,3703
710,1997,3446
710,1998,2928
710,1999,2594
710,2000,2645
710,2001,2541
710,2002,2585
710,2003,2820
710,2004,2737
710,2005,2518
710,2006,1857
727,1992,1964
727,1993,2266
727,1994,2096
727,1995,1858
727,1996,1780
727,1997,1753
727,1998,1378
727,1999,1105
727,2000,1060
727,2001,1053
727,2002,1036
727,2003,1227
727,2004,1220
727,2005,1062
727,2006,792
730,1992,14722
730,1993,16521
730,1994,15944
730,1995,11773
730,1996,10325
730,1997,9462
730,1998,8534
730,1999,7590
730,2000,7335
730,2001,7029
730,2002,7178
730,2003,8145
730,2004,7962
730,2005,6834
730,2006,4874
740,1992,9289
740,1993,10243
740,1994,9798
740,1995,8011
740,1996,7088
740,1997,6239
740,1998,4848
740,1999,4110
740,2000,4327
740,2001,4278
740,2002,4394
740,2003,5383
740,2004,5281
740,2005,4546
740,2006,3476
741,1992,487
741,1993,496
741,1994,466
741,1995,435
741,1996,408
741,1997,412
741,1998,380
741,1999,344
741,2000,364
741,2001,361
741,2002,336
741,2003,440
741,2004,450
741,2005,354
741,2006,254
746,1992,6209
746,1993,6908
746,1994,6618
746,1995,5663
746,1996,4913
746,1997,4567
746,1998,3742
746,1999,3148
746,2000,3086
746,2001,2959
746,2002,2917
746,2003,3275
746,2004,3326
746,2005,2951
746,2006,2223
751,1992,36427
751,1993,39340
751,1994,39481
751,1995,33828
751,1996,29366
751,1997,26780
751,1998,23488
751,1999,20437
751,2000,20122
751,2001,18734
751,2002,19092
751,2003,21854
751,2004,23750
751,2005,20332
751,2006,15612
756,1992,3624
756,1993,4274
756,1994,3729
756,1995,3140
756,1996,3052
756,1997,2982
756,1998,2400
756,1999,1896
756,2000,1901
756,2001,1972
756,2002,2040
756,2003,2398
756,2004,2639
756,2005,2491
756,2006,1726
760,1992,27883
760,1993,31412
760,1994,27744
760,1995,22288
760,1996,20723
760,1997,18373
760,1998,14995
760,1999,13355
760,2000,13455
760,2001,12489
760,2002,12404
760,2003,14284
760,2004,14472
760,2005,13599
760,2006,10586
766,1992,3923
766,1993,4622
766,1994,3946
766,1995,3095
766,1996,2740
766,1997,2619
766,1998,2222
766,1999,1857
766,2000,1690
766,2001,1796
766,2002,1787
766,2003,2107
766,2004,2268
766,2005,1902
766,2006,1248
773,1992,2550
773,1993,2778
773,1994,2438
773,1995,2094
773,1996,2064
773,1997,1806
773,1998,1324
773,1999,1093
773,2000,1080
773,2001,1032
773,2002,1013
773,2003,1038
773,2004,1059
773,2005,1130
773,2006,982
779,1992,5119
779,1993,5571
779,1994,4724
779,1995,3780
779,1996,3410
779,1997,2932
779,1998,2566
779,1999,2307
779,2000,2338
779,2001,2267
779,2002,2295
779,2003,2744
779,2004,2786
779,2005,2613
779,2006,2049
787,1992,4810
787,1993,5259
787,1994,4628
787,1995,3659
787,1996,3574
787,1997,3038
787,1998,2274
787,1999,1923
787,2000,2062
787,2001,1882
787,2002,1760
787,2003,1904
787,2004,2102
787,2005,1964
787,2006,1354
791,1992,8729
791,1993,10073
791,1994,9479
791,1995,7647
791,1996,6812
791,1997,6147
791,1998,5076
791,1999,4683
791,2000,4617
791,2001,4351
791,2002,4403
791,2003,4970
791,2004,4761
791,2005,4458
791,2006,3617
810,1992,5136
810,1993,5387
810,1994,5113
810,1995,4486
810,1996,3718
810,1997,3259
810,1998,2848
810,1999,2586
810,2000,2786
810,2001,2718
810,2002,2665
810,2003,2854
810,2004,2996
810,2005,2641
810,2006,2210
813,1992,11001
813,1993,12256
813,1994,12793
813,1995,11072
813,1996,9382
813,1997,8137
813,1998,7214
813,1999,6353
813,2000,6396
813,2001,6081
813,2002,5605
813,2003,6508
813,2004,6355
813,2005,5530
813,2006,4300
820,1992,4823
820,1993,5127
820,1994,4541
820,1995,3738
820,1996,3281
820,1997,2928
820,1998,2388
820,1999,2217
820,2000,2248
820,2001,2281
820,2002,2269
820,2003,2459
820,2004,2448
820,2005,2242
820,2006,1778
825,1992,543
825,1993,580
825,1994,572
825,1995,574
825,1996,472
825,1997,411
825,1998,360
825,1999,310
825,2000,271
825,2001,288
825,2002,276
825,2003,330
825,2004,290
825,2005,255
825,2006,206
840,1992,3575
840,1993,3908
840,1994,3513
840,1995,2963
840,1996,2465
840,1997,2211
840,1998,1758
840,1999,1634
840,2000,1637
840,2001,1602
840,2002,1549
840,2003,1834
840,2004,1998
840,2005,1796
840,2006,1404
846,1992,7715
846,1993,8443
846,1994,7862
846,1995,6418
846,1996,5409
846,1997,4880
846,1998,4088
846,1999,3648
846,2000,3260
846,2001,3160
846,2002,3145
846,2003,3567
846,2004,3700
846,2005,3307
846,2006,2570
849,1992,6250
849,1993,6449
849,1994,6299
849,1995,5216
849,1996,4142
849,1997,3545
849,1998,2930
849,1999,2552
849,2000,2714
849,2001,2866
849,2002,2767
849,2003,3236
849,2004,3692
849,2005,3202
849,2006,2552
851,1992,29654
851,1993,32020
851,1994,30527
851,1995,25350
851,1996,20709
851,1997,18246
851,1998,15901
851,1999,13538
851,2000,13475
851,2001,13591
851,2002,12663
851,2003,15261
851,2004,17973
851,2005,17250
851,2006,14786
860,1992,9994
860,1993,10780
860,1994,10343
860,1995,8771
860,1996,7248
860,1997,6484
860,1998,5892
860,1999,5269
860,2000,5262
860,2001,5157
860,2002,4869
860,2003,5663
860,2004,5926
860,2005,5666
860,2006,4911
101,2007,16752
147,2007,2051
151,2007,564
153,2007,567
155,2007,152
157,2007,926
159,2007,1031
161,2007,370
163,2007,472
165,2007,674
167,2007,753
169,2007,971
173,2007,585
175,2007,598
183,2007,656
185,2007,738
187,2007,173
190,2007,555
201,2007,193
210,2007,588
217,2007,980
219,2007,530
223,2007,221
230,2007,585
240,2007,323
250,2007,479
253,2007,606
259,2007,928
260,2007,459
265,2007,970
269,2007,287
270,2007,538
306,2007,546
316,2007,1161
320,2007,560
326,2007,910
329,2007,530
330,2007,1762
336,2007,370
340,2007,448
350,2007,271
360,2007,1279
370,2007,1459
376,2007,1191
390,2007,963
400,2007,1446
410,2007,539
420,2007,768
430,2007,894
440,2007,419
450,2007,521
461,2007,4578
479,2007,1317
480,2007,566
482,2007,313
492,2007,115
510,2007,942
530,2007,261
540,2007,1081
550,2007,705
561,2007,1558
563,2007,44
573,2007,487
575,2007,401
580,2007,1119
607,2007,836
615,2007,949
621,2007,1186
630,2007,1228
657,2007,1022
661,2007,644
665,2007,334
671,2007,314
706,2007,768
707,2007,817
710,2007,537
727,2007,307
730,2007,1567
740,2007,1288
741,2007,98
746,2007,704
751,2007,6131
756,2007,624
760,2007,532
766,2007,373
773,2007,323
779,2007,590
787,2007,504
791,2007,1105
810,2007,856
813,2007,1756
820,2007,624
825,2007,85
840,2007,488
846,2007,702
849,2007,949
851,2007,5047
860,2007,1699
101,2008,12802
147,2008,1499
151,2008,436
153,2008,415
155,2008,108
157,2008,607
159,2008,741
161,2008,243
163,2008,326
165,2008,508
167,2008,544
169,2008,728
173,2008,390
175,2008,437
183,2008,513
185,2008,575
187,2008,138
190,2008,360
201,2008,136
210,2008,387
217,2008,757
219,2008,365
223,2008,157
230,2008,346
240,2008,235
250,2008,395
253,2008,436
259,2008,740
260,2008,373
265,2008,671
269,2008,214
270,2008,379
306,2008,411
316,2008,840
320,2008,431
326,2008,543
329,2008,382
330,2008,1283
336,2008,257
340,2008,354
350,2008,202
360,2008,889
370,2008,1187
376,2008,872
390,2008,747
400,2008,1138
410,2008,327
420,2008,561
430,2008,653
440,2008,309
450,2008,388
461,2008,3390
479,2008,843
480,2008,416
482,2008,190
492,2008,72
510,2008,604
530,2008,172
540,2008,768
550,2008,453
561,2008,1156
563,2008,29
573,2008,340
575,2008,253
580,2008,808
607,2008,628
615,2008,798
621,2008,822
630,2008,849
657,2008,709
661,2008,516
665,2008,214
671,2008,260
706,2008,504
707,2008,527
710,2008,398
727,2008,211
730,2008,1053
740,2008,834
741,2008,66
746,2008,447
751,2008,4114
756,2008,500
760,2008,429
766,2008,248
773,2008,292
779,2008,519
787,2008,417
791,2008,779
810,2008,604
813,2008,1127
820,2008,463
825,2008,61
840,2008,312
846,2008,529
849,2008,614
851,2008,3507
860,2008,1110
101,2009,18184
147,2009,2172
151,2009,796
153,2009,759
155,2009,182
157,2009,899
159,2009,1232
161,2009,499
163,2009,574
165,2009,795
167,2009,981
169,2009,1228
173,2009,658
175,2009,749
183,2009,755
185,2009,961
187,2009,270
190,2009,566
201,2009,261
210,2009,662
217,2009,1306
