,muni_code,year,kont_recip_tot
636,223,2019,359
637,223,2020,375
638,223,2021,320
639,223,2022,303
299,230,1994,1407
300,230,1995,1264
301,230,1996,1109
302,230,1997,1014
303,230,1998,1038
304,230,1999,954
305,230,2000,945
306,230,2001,839
307,230,2002,813
308,230,2003,827
309,230,2004,856
310,230,2005,909
311,230,2006,896
640,230,2007,692
641,230,2008,658
642,230,2009,793
643,230,2010,920
644,230,2011,977
645,230,2012,982
646,230,2013,1084
647,230,2014,1118
648,230,2015,1239
649,230,2016,1219
650,230,2017,1146
651,230,2018,945
652,230,2019,825
653,230,2020,781
654,230,2021,682
655,230,2022,687
312,240,1994,1006
313,240,1995,916
314,240,1996,776
315,240,1997,792
316,240,1998,731
317,240,1999,612
318,240,2000,628
319,240,2001,568
320,240,2002,546
321,240,2003,574
322,240,2004,481
323,240,2005,574
324,240,2006,558
656,240,2007,415
657,240,2008,423
658,240,2009,529
659,240,2010,583
660,240,2011,667
661,240,2012,672
662,240,2013,877
663,240,2014,922
664,240,2015,933
665,240,2016,911
666,240,2017,725
667,240,2018,627
668,240,2019,585
669,240,2020,538
670,240,2021,510
671,240,2022,586
325,250,1994,9327
326,250,1995,8393
327,250,1996,7998
328,250,1997,7667
329,250,1998,7373
330,250,1999,7040
331,250,2000,7187
332,250,2001,7009
333,250,2002,6990
334,250,2003,7160
335,250,2004,6576
336,250,2005,6403
337,250,2006,6559
672,250,2007,892
673,250,2008,965
674,250,2009,1245
675,250,2010,1407
676,250,2011,1437
677,250,2012,1507
678,250,2013,1758
679,250,2014,1747
680,250,2015,1775
681,250,2016,1666
682,250,2017,1451
683,250,2018,1245
684,250,2019,1065
685,250,2020,1021
686,250,2021,885
687,250,2022,916
338,253,1994,2353
339,253,1995,2090
340,253,1996,2000
341,253,1997,1606
342,253,1998,1521
343,253,1999,1373
344,253,2000,1389
345,253,2001,1333
346,253,2002,1111
347,253,2003,1098
348,253,2004,1032
349,253,2005,973
350,253,2006,985
688,253,2007,980
689,253,2008,979
690,253,2009,1142
691,253,2010,1130
692,253,2011,1155
693,253,2012,1231
694,253,2013,1431
695,253,2014,1527
696,253,2015,1514
697,253,2016,1353
698,253,2017,1093
