,muni_code,year,kont_recip_tot
565,201,2012,375
566,201,2013,427
567,201,2014,451
568,201,2015,526
569,201,2016,498
570,201,2017,461
571,201,2018,354
572,201,2019,316
573,201,2020,287
574,201,2021,262
575,201,2022,288
312,205,1994,631
313,205,1995,525
314,205,1996,456
315,205,1997,389
316,205,1998,409
317,205,1999,451
318,205,2000,432
319,205,2001,374
320,205,2002,329
321,205,2003,324
322,205,2004,333
323,205,2005,371
324,205,2006,387
325,207,1994,639
326,207,1995,549
327,207,1996,518
328,207,1997,418
329,207,1998,445
330,207,1999,467
331,207,2000,249
332,207,2001,370
333,207,2002,418
334,207,2003,443
335,207,2004,474
336,207,2005,524
337,207,2006,489
338,208,1994,663
339,208,1995,693
340,208,1996,623
341,208,1997,588
342,208,1998,557
343,208,1999,497
344,208,2000,469
345,208,2001,434
346,208,2002,430
347,208,2003,457
348,208,2004,469
349,208,2005,461
350,208,2006,445
351,209,1994,666
352,209,1995,610
353,209,1996,551
354,209,1997,537
355,209,1998,501
356,209,1999,479
357,209,2000,474
358,209,2001,430
359,209,2002,471
360,209,2003,447
361,209,2004,408
362,209,2005,356
363,209,2006,358
576,210,2007,1001
577,210,2008,1055
578,210,2009,1191
579,210,2010,1199
580,210,2011,1154
581,210,2012,1157
582,210,2013,1350
583,210,2014,1459
584,210,2015,1423
585,210,2016,1275
586,210,2017,1107
587,210,2018,883
588,210,2019,799
589,210,2020,746
590,210,2021,670
591,210,2022,636
364,211,1994,769
365,211,1995,763
366,211,1996,761
367,211,1997,797
368,211,1998,831
369,211,1999,733
370,211,2000,764
371,211,2001,776
372,211,2002,679
373,211,2003,684
374,211,2004,594
375,211,2005,604
376,211,2006,597
377,213,1994,721
378,213,1995,646
379,213,1996,631
380,213,1997,557
381,213,1998,548
382,213,1999,480
383,213,2000,497
384,213,2001,465
385,213,2002,581
386,213,2003,535
387,213,2004,772
388,213,2005,543
389,213,2006,527
390,215,1994,710
391,215,1995,543
392,215,1996,536
393,215,1997,427
394,215,1998,432
395,215,1999,397
396,215,2000,402
397,215,2001,409
398,215,2002,398
399,215,2003,415
400,215,2004,368
401,215,2005,352
402,215,2006,327
403,217,1994,3365
404,217,1995,3125
405,217,1996,3029
406,217,1997,2888
407,217,1998,2656
408,217,1999,2323
409,217,2000,2192
410,217,2001,2149
411,217,2002,2334
412,217,2003,2277
413,217,2004,2070
414,217,2005,2047
415,217,2006,1902
592,217,2007,2031
593,217,2008,2133
594,217,2009,2370
595,217,2010,2421
596,217,2011,2349
597,217,2012,2476
598,217,2013,2774
599,217,2014,2902
600,217,2015,2941
601,217,2016,2917
602,217,2017,2600
603,217,2018,2215
604,217,2019,2000
605,217,2020,1857
606,217,2021,1530
607,217,2022,1449
416,219,1994,1125
417,219,1995,1081
418,219,1996,1002
419,219,1997,965
420,219,1998,1012
421,219,1999,1021
422,219,2000,1152
423,219,2001,1047
424,219,2002,1070
425,219,2003,1000
426,219,2004,905
427,219,2005,871
428,219,2006,869
608,219,2007,1042
609,219,2008,1050
610,219,2009,1292
611,219,2010,1418
612,219,2011,1434
613,219,2012,1489
614,219,2013,1652
615,219,2014,1708
616,219,2015,1715
617,219,2016,1583
618,219,2017,1500
619,219,2018,1355
620,219,2019,1167
621,219,2020,1123
622,219,2021,1020
623,219,2022,1019
429,221,1994,426
430,221,1995,394
431,221,1996,396
432,221,1997,389
433,221,1998,389
434,221,1999,400
435,221,2000,324
436,221,2001,304
437,221,2002,274
438,221,2003,315
439,221,2004,313
440,221,2005,277
441,221,2006,222
442,223,1994,491
443,223,1995,465
444,223,1996,498
445,223,1997,442
446,223,1998,362
447,223,1999,337
448,223,2000,363
449,223,2001,398
450,223,2002,471
451,223,2003,520
452,223,2004,457
453,223,2005,497
454,223,2006,493
624,223,2007,353
625,223,2008,325
626,223,2009,359
627,223,2010,400
628,223,2011,425
629,223,2012,433
630,223,2013,524
631,223,2014,581
632,223,2015,599
633,223,2016,584
634,223,2017,522
635,223,2018,424
636,223,2019,359
637,223,2020,375
638,223,2021,320
639,223,2022,303
455,225,1994,353
456,225,1995,307
457,225,1996,259
458,225,1997,259
459,225,1998,306
460,225,1999,288
461,225,2000,271
462,225,2001,268
463,225,2002,269
464,225,2003,272
465,225,2004,240
466,225,2005,223
467,225,2006,243
468,227,1994,1155
469,227,1995,1104
470,227,1996,1005
471,227,1997,1031
472,227,1998,988
473,227,1999,776
474,227,2000,908
475,227,2001,863
476,227,2002,799
477,227,2003,754
478,227,2004,696
479,227,2005,715
480,227,2006,636
481,229,1994,152
482,229,1995,142
483,229,1996,140
484,229,1997,155
485,229,1998,155
486,229,1999,158
487,229,2000,168
488,229,2001,134
489,229,2002,131
490,229,2003,125
491,229,2004,144
492,229,2005,165
493,229,2006,166
640,230,2007,692
641,230,2008,658
642,230,2009,793
643,230,2010,920
644,230,2011,977
645,230,2012,982
646,230,2013,1084
647,230,2014,1118
648,230,2015,1239
649,230,2016,1219
650,230,2017,1146
651,230,2018,945
652,230,2019,825
653,230,2020,781
654,230,2021,682
655,230,2022,687
494,231,1994,98
495,231,1995,99
496,231,1996,88
497,231,1997,91
498,231,1998,95
499,231,1999,72
500,231,2000,63
501,231,2001,75
502,231,2002,74
503,231,2003,68
504,231,2004,62
505,231,2005,89
506,231,2006,106
507,233,1994,246
508,233,1995,226
509,233,1996,214
510,233,1997,198
511,233,1998,219
512,233,1999,211
513,233,2000,190
514,233,2001,172
515,233,2002,153
516,233,2003,161
517,233,2004,146
518,233,2005,151
519,233,2006,160
520,235,1994,372
521,235,1995,376
522,235,1996,303
523,235,1997,305
524,235,1998,256
525,235,1999,258
526,235,2000,248
527,235,2001,225
528,235,2002,247
529,235,2003,258
530,235,2004,224
531,235,2005,275
532,235,2006,239
533,237,1994,344
534,237,1995,297
535,237,1996,271
536,237,1997,278
537,237,1998,291
538,237,1999,211
539,237,2000,245
540,237,2001,209
541,237,2002,187
542,237,2003,175
543,237,2004,160
544,237,2005,174
545,237,2006,190
656,240,2007,415
657,240,2008,423
658,240,2009,529
659,240,2010,583
660,240,2011,667
661,240,2012,672
662,240,2013,877
663,240,2014,922
664,240,2015,933
665,240,2016,911
666,240,2017,725
667,240,2018,627
668,240,2019,585
669,240,2020,538
670,240,2021,510
671,240,2022,586
546,250,1994,7910
547,250,1995,7108
548,250,1996,6834
549,250,1997,6518
550,250,1998,6192
551,250,1999,5904
552,250,2000,6084
553,250,2001,6005
554,250,2002,5966
555,250,2003,6155
556,250,2004,5638
557,250,2005,5508
558,250,2006,5632
672,250,2007,892
673,250,2008,965
674,250,2009,1245
675,250,2010,1407
676,250,2011,1437
677,250,2012,1507
678,250,2013,1758
679,250,2014,1747
680,250,2015,1775
681,250,2016,1666
682,250,2017,1451
683,250,2018,1245
684,250,2019,1065
685,250,2020,1021
686,250,2021,885
687,250,2022,916
559,251,1994,158
560,251,1995,170
561,251,1996,177
562,251,1997,179
563,251,1998,204
564,251,1999,166
565,251,2000,166
566,251,2001,167
567,251,2002,162
568,251,2003,207
569,251,2004,186
570,251,2005,217
571,251,2006,235
572,253,1994,2353
573,253,1995,2090
574,253,1996,2000
575,253,1997,1606
576,253,1998,1521
577,253,1999,1373
578,253,2000,1389
579,253,2001,1333
580,253,2002,1111
581,253,2003,1098
582,253,2004,1032
583,253,2005,973
584,253,2006,985
688,253,2007,980
689,253,2008,979
690,253,2009,1142
691,253,2010,1130
692,253,2011,1155
693,253,2012,1231
694,253,2013,1431
695,253,2014,1527
696,253,2015,1514
697,253,2016,1353
698,253,2017,1093
699,253,2018,927
